"counts","names"
131,"you going to"
130,"and have a"
130,"for those who"
130,"have no idea"
130,"i got to"
130,"more of a"
130,"the time i"
130,"to pick up"
130,"when i get"
129,"a few of"
129,"along the way"
129,"are you going"
129,"he has a"
129,"out to the"
129,"over the next"
129,"that there are"
129,"time to get"
129,"to think about"
129,"up for the"
129,"well as the"
128,"a matter of"
128,"did you know"
128,"for a new"
128,"i cant believe"
128,"in the third"
128,"my way to"
128,"of the night"
128,"of the way"
128,"the next day"
128,"way to go"
127,"could have been"
127,"for the last"
127,"i think we"
127,"in the game"
127,"it looks like"
127,"of the other"
127,"on the floor"
127,"such as the"
127,"there are many"
127,"they need to"
127,"to listen to"
127,"will be in"
126,"at some point"
126,"at the university"
126,"been able to"
126,"first time in"
126,"he said i"
126,"in the th"
126,"you and your"
125,"and the other"
125,"bottom of the"
125,"get back to"
125,"in los angeles"
125,"is a very"
125,"or at least"
125,"ready for the"
124,"a result of"
124,"and all the"
124,"and they are"
124,"feel like i"
124,"for the day"
124,"if you do"
124,"of the people"
124,"that i dont"
124,"the power of"
124,"to focus on"
124,"to go back"
123,"a list of"
123,"a picture of"
123,"a sense of"
123,"come to the"
123,"half of the"
123,"in st louis"
123,"of course the"
123,"that he is"
123,"the last few"
123,"the last two"
123,"to tell you"
123,"was on the"
123,"what it is"
123,"will continue to"
122,"for a long"
122,"in one of"
122,"on the same"
122,"one of these"
122,"the age of"
122,"the past few"
122,"the state of"
122,"you dont know"
121,"a good time"
121,"all of my"
121,"in a way"
121,"in the process"
121,"is such a"
121,"it as a"
121,"it to be"
121,"so you can"
121,"some sort of"
121,"way to the"
120,"do you want"
120,"in a while"
120,"it is to"
120,"the first half"
120,"the other hand"
120,"they have a"
120,"this was a"
120,"wait for the"
120,"were able to"
119,"are you doing"
119,"as it is"
119,"in the case"
119,"looks like a"
119,"not to mention"
119,"place in the"
119,"the death of"
119,"the only way"
119,"whats going on"
119,"you are not"
119,"you in the"
118,"and that is"
118,"are trying to"
118,"happy new year"
118,"of the state"
118,"of the things"
118,"that he had"
118,"the size of"
118,"the st louis"
118,"the way i"
118,"this is my"
118,"will be able"
117,"across the country"
117,"and i love"
117,"could be a"
117,"i have never"
117,"it might be"
117,"lot of people"
117,"me in the"
117,"over and over"
117,"that will be"
117,"they are not"
117,"want to make"
117,"will have a"
117,"you get a"
116,"at least one"
116,"for more information"
116,"he wants to"
116,"i can do"
116,"if it is"
116,"is to be"
116,"need to do"
116,"on the phone"
116,"really want to"
116,"them in the"
116,"to check out"
116,"to see it"
116,"when it was"
115,"and you can"
115,"as good as"
115,"be one of"
115,"i should be"
115,"in other words"
115,"on to the"
115,"out on the"
115,"the point of"
115,"the world and"
115,"to watch the"
115,"to win the"
115,"two of the"
115,"when you have"
115,"which is a"
114,"be the best"
114,"but in the"
114,"down to the"
114,"he had a"
114,"i had the"
114,"know if you"
114,"know what i"
114,"like to see"
114,"so much fun"
114,"the next few"
114,"waiting for the"
114,"were in the"
114,"wish i was"
113,"a fan of"
113,"and his wife"
113,"but its not"
113,"i guess i"
113,"parts of the"
113,"the federal government"
113,"the side of"
113,"there are some"
113,"to come to"
113,"will be on"
112,"a good idea"
112,"all of you"
112,"and i cant"
112,"and i had"
112,"because it is"
112,"feel free to"
112,"i think im"
112,"id love to"
112,"im trying to"
112,"in the car"
112,"its not a"
112,"love to see"
112,"the chance to"
112,"when you get"
112,"you have any"
111,"are on the"
111,"as one of"
111,"as you can"
111,"get to the"
111,"getting ready for"
111,"im pretty sure"
111,"in recent years"
111,"in the air"
111,"more likely to"
111,"ready to go"
111,"to be more"
111,"we have been"
110,"a few more"
110,"a lot to"
110,"and i are"
110,"do with the"
110,"go to sleep"
110,"i was so"
110,"is part of"
110,"one of his"
110,"to me that"
110,"was supposed to"
109,"a handful of"
109,"have to make"
109,"i still have"
109,"i think you"
109,"if i had"
109,"if you havent"
109,"if you were"
109,"in this case"
109,"may have been"
109,"that i would"
109,"thats what i"
109,"the importance of"
109,"the s and"
109,"this is an"
109,"to find the"
109,"to me and"
109,"wanted to be"
109,"was a little"
108,"a few minutes"
108,"and i just"
108,"and i know"
108,"close to the"
108,"do not have"
108,"forward to seeing"
108,"here is a"
108,"it was an"
108,"let you know"
108,"me and my"
108,"of the city"
108,"people who are"
108,"so we can"
108,"to live in"
108,"to the public"
108,"you know i"
107,"back on the"
107,"for some reason"
107,"is a little"
107,"of one of"
107,"of the book"
107,"so excited to"
107,"so proud of"
107,"the lack of"
107,"up at the"
106,"a very good"
106,"all of them"
106,"and one of"
106,"and that the"
106,"at one point"
106,"day of the"
106,"each of the"
106,"early in the"
106,"goal is to"
106,"he was the"
106,"if i can"
106,"it in a"
106,"know what to"
106,"less than a"
106,"to become a"
105,"a few hours"
105,"and there are"
105,"are the best"
105,"at least a"
105,"but i cant"
105,"but there are"
105,"get rid of"
105,"hall of fame"
105,"he did not"
105,"i know it"
105,"in your life"
105,"much of a"
105,"the world is"
105,"to be honest"
105,"to go out"
105,"to the next"
105,"told me that"
105,"we had to"
105,"you are the"
104,"a ton of"
104,"be at the"
104,"be the first"
104,"even though i"
104,"i try to"
104,"if i was"
104,"in the right"
104,"it on the"
104,"of the same"
104,"on the ground"
104,"that has been"
104,"the best way"
104,"the center of"
104,"the need to"
104,"this was the"
104,"to me i"
104,"trying to make"
103,"all of our"
103,"for us to"
103,"forward to the"
103,"going to go"
103,"i could have"
103,"i hope to"
103,"i know its"
103,"i will never"
103,"if you need"
103,"im not a"
103,"little bit of"
103,"on the right"
103,"she said the"
103,"some kind of"
103,"that it would"
103,"the new jersey"
103,"the world of"
103,"think about it"
103,"to know that"
103,"we are going"
103,"where are you"
103,"wish i had"
103,"you dont want"
102,"able to get"
102,"along with the"
102,"and we are"
102,"but im not"
102,"do the same"
102,"even if you"
102,"for at least"
102,"he is the"
102,"i have had"
102,"if i could"
102,"in the final"
102,"not want to"
102,"on the back"
102,"on the side"
102,"president barack obama"
102,"that we have"
102,"the first place"
102,"they have to"
102,"to win a"
102,"working on a"
101,"but this is"
101,"going to make"
101,"i should have"
101,"in the book"
101,"is like a"
101,"just wanted to"
101,"live in the"
101,"me want to"
101,"out of it"
101,"that can be"
101,"that in the"
101,"that you have"
101,"the heart of"
101,"the history of"
101,"the hunger games"
101,"time in the"
101,"time of the"
101,"to get some"
101,"what a great"
100,"and will be"
100,"give me a"
100,"he said it"
100,"i am in"
100,"i know you"
100,"now i have"
100,"she was a"
100,"that is not"
100,"that kind of"
100,"the idea that"
100,"the process of"
100,"version of the"
100,"you do not"
100,"you for your"
99,"all of these"
99,"back of the"
99,"best way to"
99,"he has been"
99,"i can be"
99,"i was thinking"
99,"we have the"
99,"you had a"
98,"a long way"
98,"are a few"
98,"are looking for"
98,"back and forth"
98,"because they are"
98,"but i do"
98,"getting ready to"
98,"have you ever"
98,"he and his"
98,"i am the"
98,"i think this"
98,"it was great"
98,"on the th"
98,"out for the"
98,"over the weekend"
98,"take advantage of"
98,"that i could"
98,"that they were"
98,"the edge of"
98,"the second half"
98,"to think of"
98,"what i was"
98,"when she was"
98,"would not be"
97,"a total of"
97,"excited to see"
97,"for the new"
97,"have the same"
97,"how to make"
97,"if you cant"
97,"is that i"
97,"is there a"
97,"its a good"
97,"the face of"
97,"to buy a"
97,"to go on"
97,"to see that"
97,"to those who"
97,"up in a"
97,"was the best"
97,"who wants to"
97,"you are in"
96,"a hard time"
96,"and he was"
96,"came up with"
96,"give you a"
96,"i go to"
96,"i havent been"
96,"i was able"
96,"if it was"
96,"if youre not"
96,"in san francisco"
96,"is about to"
96,"it was like"
96,"it was not"
96,"it would have"
96,"much as i"
96,"of their own"
96,"the course of"
96,"this kind of"
96,"this will be"
96,"to start the"
96,"to the new"
95,"a bit more"
95,"a man who"
95,"a time when"
95,"appears to be"
95,"him in the"
95,"in high school"
95,"its gonna be"
95,"of the last"
95,"to come back"
95,"to one of"
95,"to say i"
95,"want you to"
95,"when you are"
94,"and at the"
94,"can do it"
94,"for me and"
94,"i didnt have"
94,"i had no"
94,"i just got"
94,"in the day"
94,"is a lot"
94,"last night i"
94,"need to go"
94,"of the story"
94,"on how to"
94,"so much more"
94,"the first round"
94,"the same as"
94,"theres a lot"
94,"to go with"
94,"trying to figure"
94,"two years ago"
93,"at the beginning"
93,"better than the"
93,"chance to win"
93,"dont need to"
93,"going to see"
93,"had no idea"
93,"i know im"
93,"i love this"
93,"in the top"
93,"in which the"
93,"is supposed to"
93,"is what i"
93,"it makes me"
93,"just a little"
93,"make sure to"
93,"more than the"
93,"only a few"
93,"should be a"
93,"the early s"
93,"those of you"
93,"time for the"
93,"to build a"
93,"to come out"
93,"to give the"
93,"you can find"
92,"be part of"
92,"deal with the"
92,"earlier this year"
92,"for the most"
92,"how much i"
92,"i felt like"
92,"i have not"
92,"if there is"
92,"known as the"
92,"more than one"
92,"new york and"
92,"of all time"
92,"on the internet"
92,"thank you i"
92,"the department of"
92,"the life of"
92,"the loss of"
92,"to try and"
92,"what is your"
92,"you have the"
92,"you know the"
91,"an opportunity to"
91,"and there is"
91,"are expected to"
91,"at this time"
91,"but there is"
91,"for a couple"
91,"get to see"
91,"had a good"
91,"i made a"
91,"in response to"
91,"it is so"
91,"make sure that"
91,"me know if"
91,"most of them"
91,"need to know"
91,"of the us"
91,"on the first"
91,"should have been"
91,"the one who"
91,"the quality of"
91,"there are so"
91,"this week i"
91,"to the point"
91,"what happened to"
91,"with a little"
91,"you get to"
90,"and on the"
90,"and we have"
90,"for a little"
90,"great to see"
90,"i didnt want"
90,"i got the"
90,"i think they"
90,"i want a"
90,"if you think"
90,"is a bit"
90,"much for the"
90,"not in the"
90,"not sure if"
90,"out how to"
90,"so if you"
90,"thanks to the"
90,"the possibility of"
90,"those who are"
90,"to be done"
90,"to be one"
90,"to return to"
90,"to see my"
90,"was the only"
90,"we are not"
90,"welcome to the"
90,"you at the"
90,"you can be"
89,"a great deal"
89,"all kinds of"
89,"and for the"
89,"are so many"
89,"as it was"
89,"be a part"
89,"for him to"
89,"going to take"
89,"he would have"
89,"i like it"
89,"is also a"
89,"is just a"
89,"it was time"
89,"its a great"
89,"reminds me of"
89,"some of these"
89,"thanks to all"
89,"the things that"
89,"the way the"
89,"to catch up"
89,"to get in"
89,"to have you"
89,"to worry about"
89,"what you want"
88,"and when i"
88,"are a lot"
88,"beginning of the"
88,"but they are"
88,"can see the"
88,"friends and family"
88,"go to bed"
88,"i really dont"
88,"i woke up"
88,"if they are"
88,"in the kitchen"
88,"its time for"
88,"like to be"
88,"looking at the"
88,"might be a"
88,"more than years"
88,"new york times"
88,"thats why i"
88,"the late s"
88,"there is nothing"
88,"up and down"
88,"was not a"
87,"and i would"
87,"but i did"
87,"day in the"
87,"dont even know"
87,"for the best"
87,"i can tell"
87,"i dont get"
87,"it may be"
87,"meant to be"
87,"on behalf of"
87,"such a great"
