"keys","vals"
"april",0.0181851579720794
"apt",0.0136363636363636
"arab",0.0330882352941176
"arc",0.0120967741935484
"architect",0.0110294117647059
"architects",0.0138888888888889
"architecture",0.0202702702702703
"archives",0.01
"are",0.0148159949020233
"area",0.0167682926829268
"areas",0.0210896309314587
"arena",0.0177514792899408
"arent",0.026071842410197
"argue",0.0131578947368421
"arguing",0.0424528301886792
"argument",0.0313807531380753
"arguments",0.0254237288135593
"arizona",0.0107142857142857
"arizonas",0.0129310344827586
"arkansas",0.0227272727272727
"arm",0.015
"armed",0.0158450704225352
"arms",0.0193548387096774
"army",0.0140625
"arnold",0.0113636363636364
"around",0.0122126436781609
"arranged",0.0115384615384615
"arrangement",0.0129310344827586
"arrangements",0.0192307692307692
"array",0.0111940298507463
"arrest",0.012987012987013
"arrested",0.011968085106383
"arrests",0.0101351351351351
"arrival",0.0128205128205128
"arrive",0.0177514792899408
"arrived",0.0177801724137931
"arrives",0.0205479452054795
"arriving",0.02
"arsenal",0.0217391304347826
"art",0.0286989795918367
"arthur",0.01
"article",0.0157894736842105
"articles",0.021551724137931
"artist",0.0179738562091503
"artistic",0.0077319587628866
"artists",0.0255474452554745
"arts",0.0194575471698113
"artwork",0.00806451612903226
"as",0.00676798279906177
"ash",0.0111940298507463
"ashamed",0.0340909090909091
"ashley",0.015625
"asia",0.00742574257425743
"asian",0.00471698113207547
"aside",0.0124309392265193
"ask",0.0166782487838777
"asked",0.0146276595744681
"asking",0.0297927461139896
"asks",0.0330396475770925
"asleep",0.015495867768595
"asparagus",0.0107142857142857
"aspect",0.005
"aspects",0.00535714285714286
"ass",0.00168728908886389
"assault",0.0177514792899408
"assembled",0.0138888888888889
"assembly",0.00681818181818182
"assess",0.0131578947368421
"assessment",0.00757575757575758
"asset",0.0208333333333333
"assets",0.0126050420168067
"assigned",0.0166666666666667
"assignment",0.0101351351351351
"assist",0.0256410256410256
"assistance",0.0198675496688742
"assistant",0.0111940298507463
"assists",0.00513698630136986
"associate",0.00688073394495413
"associated",0.00515463917525773
"associates",0.0107142857142857
"association",0.0114628820960699
"associations",0.0138888888888889
"assume",0.0203804347826087
"assumed",0.0180722891566265
"assuming",0.0344827586206897
"assured",0.00882352941176471
"at",0.00729195276023071
"ate",0.0249077490774908
"athlete",0.0170454545454545
"athletes",0.0102040816326531
"athletic",0.00909090909090909
"athletics",0.0129310344827586
"atl",0.01171875
"atlanta",0.0177165354330709
"atlantic",0.00451807228915663
"atmosphere",0.0302013422818792
"atop",0.0127118644067797
"att",0.00903614457831325
"attached",0.00496688741721854
"attack",0.0171161825726141
"attacked",0.0225
"attacking",0.0108695652173913
"attacks",0.00635593220338983
